nid	mid	fields
1577742895613	1577652741654	vi-smf vismarati	P1. to forget
1577742895614	1577652741654	krIq krIqati	P1. to play
1577742895615	1577652741654	BaYj Bajyate	A7. to break (passive)
1577742895616	1577652741654	grah gfhyate	A9. to seize (passive)
1577742895617	1577652741654	SAs Sizyate	A2. to order (passive)
1577742895618	1577652741654	vac ucyate	A2. to speak (passive)
1577742895619	1577652741654	banD baDyate	A9. to bind (passive)
1577742895620	1577652741654	pra-kAS A1 prakASate	A1. to shine
1577742895621	1577652741654	aDama	mfn. inferior
1577742895622	1577652741654	antima	mfn. last
1577742895623	1577652741654	asIma	mfn. boundless
1577742895624	1577652741654	AcAryaH	m. preceptor
1577742895625	1577652741654	dUtaH	m. messenger
1577742895626	1577652741654	sarpaH	m. snake
1577742895627	1577652741654	hariH	m. Hari
1577742895628	1577652741654	rAmaH	m. Rama
1577742895629	1577652741654	sItA	f. Sita
1577742895630	1577652741654	laGu	mfn. light
1577742895631	1577652741654	Bartf BartA	m. husband
1577742895632	1577652741654	ASA	f. hope
1577742895633	1577652741654	kanyA	f. daughter
1577742895634	1577652741654	kaTA	f. story
1577742895635	1577652741654	jihvA	f. tongue
1577742895636	1577652741654	lajjA	f. shame
1577742895637	1577652741654	ata eva	ind. therefore
1577742895638	1577652741654	anyaTA	ind. otherwise
1577742895639	1577652741654	alam	ind. enough (+Instrumental)
1577742895640	1577652741654	iti	ind. so, thus
1577742895641	1577652741654	ciram	ind. for a long time
1577742895642	1577652741654	tUzRIm	ind. silently
1577742895643	1577652741654	Sastram	n. weapon
1577742895644	1577652741654	pratipattiH	f. fame
1577742895645	1577652741654	hAsyam	n. ridicule
1577742895646	1577652741654	vfdDatvam	n. old age
1577742895647	1577652741654	cakram	n. wheel
1577742895648	1577652741654	gatiH	f. motion
1577742895649	1577652741654	puruzakAraH	m. human effort
1577742895650	1577652741654	udyamaH	m. effort
1577742895651	1577652741654	manoraTaH	m. desire
1577742895652	1577652741654	mfgaH	m. deer
1577742895653	1577652741654	kOnteyaH	m. Arjuna
1577742895654	1577652741654	saKyam	n. friendship
1577742895655	1577652741654	prItiH	f. affection
1577742895656	1577652741654	aNgAraH	m. charcoal
1577742895657	1577652741654	gAnam	n. song
1577742895658	1577652741654	Adya	mfn. first
1577742895659	1577652741654	dvitIya	mfn. second
1577742895660	1577652741654	eka	pron. one
1577742895661	1577652741654	supta	mfn. asleep
1577742895662	1577652741654	daridra	mfn. poor
1577742895663	1577652741654	paTya	mfn. wholesome
1577742895664	1577652741654	nIruja	mfn. healthy
1577742895665	1577652741654	uzRa	mfn. hot
1577742895666	1577652741654	SIta	mfn. cool, cold
1577742895667	1577652741654	kfzRa	mfn. black
1577742895668	1577652741654	Sveta	mfn. white
1577742895669	1577652741654	rakta	mfn. red
1577742895670	1577652741654	pIta	mfn. yellow
1577742895671	1577652741654	nIla	mfn. blue
1577742895672	1577652741654	harita	mfn. green
1577742895673	1577652741654	sadA	ind. always
1577742895674	1577652741654	hi	ind. for, indeed
1577742895675	1577652741654	yaTA	ind. as
1577742895676	1577652741654	taTA	ind. so
1577742895677	1577652741654	samam	ind. with (+Instrumental)
1577742895678	1577652741654	divA	ind. in day-time
1577742895679	1577652741654	naktam	ind. at night
1577742895680	1577652741654	rahasi	ind. in secret
1577742895681	1577652741654	vfTA	ind. in vain
1577742895682	1577652741654	hyaH	m. yesterday
1577742895683	1577652741654	SvaH	m. tomorrow
1577742895684	1577652741654	SanEH	ind. slowly
1577742895685	1577652741654	sapadi	ind. at once
1577742895686	1577652741654	sahasA	ind. suddenly
1577742895687	1577652741654	sakft	ind. once
1577742895688	1577652741654	kadApi	ind. sometimes
1577742895689	1577652741654	pra-dA prayacCati	P1. to bestow
1577742895690	1577652741654	kAraya kArayati	P8. (kf-causal) to perform, to establish
1577742895691	1577652741654	kfzRAya kfzRAyate	P (Nom.) to make black
1577742895692	1577652741654	siD siDyati	P4. to succeed
1577742895693	1577652741654	sah sahate	A1. to endure
1577742895694	1577652741654	Sikz Sikzate	A1. to learn
1577742895695	1577652741654	Suc Socati	P1. to grieve
1577742895696	1577652741654	vfD varDate	A1. to increase
1577742895697	1577652741654	vep vepate	A1. to tremble
1577742895698	1577652741654	luw luwyati	P4. to wallow
1577742895699	1577652741654	gE gAyati	P1. to sing
1577742895700	1577652741654	Bf Barati	P1. to feed, to support
1577742895701	1577652741654	jalamuc jalamuk	m. cloud
1577742895702	1577652741654	fc fk	f. hymn
1577742895703	1577652741654	tvac tvak	f. skin
1577742895704	1577652741654	vAc vAk	f. speech
1577742895705	1577652741654	Suc Suk	f. grief
1577742895706	1577652741654	vaRij vaRik	m. merchant
1577742895707	1577652741654	Bizaj Bizak	m. doctor
1577742895708	1577652741654	ftvij ftvik	m. priest
1577742895709	1577652741654	samrAj samrAw	m. emperor
1577742895710	1577652741654	parivrAj parivrAw	m. mendicant
1577742895711	1577652741654	sraj srak	f. garland
1577742895712	1577652741654	marut	m. wind
1577742895713	1577652741654	BUBft	m. king
1577742895714	1577652741654	vidyut	f. lightning (flash)
1577742895715	1577652741654	taqit	f. lightning (strike)
1577742895716	1577652741654	sarit	f. river
1577742895717	1577652741654	suhfd suhft	f. friend
1577742895718	1577652741654	udBid udBit	m. plant
1577742895719	1577652741654	Apad Apat	f. adversity
1577742895720	1577652741654	vipad vipat	f. danger
1577742895721	1577652741654	sampad sampat	f. wealth
1577742895722	1577652741654	parizad parizat	f. assembly
1577742895723	1577652741654	Sarad Sarat	f. autumn
1577742895724	1577652741654	kzuD kzut	f. hunger
1577742895725	1577652741654	samiD samit	f. fuel
1577742895726	1577652741654	prAvfz prAvfw	f. rainy season
1577742895727	1577652741654	diS dik	f. direction
1577742895728	1577652741654	asfj asfk	n. blood
1577742895729	1577652741654	candramas candramAH	m. moon
1577742895730	1577652741654	veDas veDAH	m. creator
1577742895731	1577652741654	payas payaH	m. n. water,milk
1577742895732	1577652741654	uras uraH	m. n. breast
1577742895733	1577652741654	cetas cetaH	m. n. mind
1577742895734	1577652741654	manas manaH	m. n. mind
1577742895735	1577652741654	yaSas yaSaH	m. n. fame
1577742895736	1577652741654	vayas vayaH	m. n. age
1577742895737	1577652741654	viS viw	m. Vaishya (third caste)
1577742895738	1577652741654	kakuB kakup	f. direction
1577742895739	1577652741654	dvAr dvAH	f. door
1577742895740	1577652741654	tejas tejaH	m. n. glare,energy
1577742895741	1577652741654	Siras SiraH	m. n. head
1577742895742	1577652741654	tapas tapaH	m. n. penance
1577742895743	1577652741654	sadas sadaH	m. n. residence
1577742895744	1577652741654	havis haviH	n. oblation
1577742895745	1577652741654	jyotis jyotiH	n. light
1577742895746	1577652741654	priya	mfn. dear
1577742895747	1577652741654	gir gIH	f. voice
1577742895748	1577652741654	pur pUH	f. town
1577742895749	1577652741654	Dur DUH	f. yoke
1577742895750	1577652741654	dviz dviw	m. enemy
1577742895751	1577652741654	Ayus AyuH	n. life
1577742895752	1577652741654	Danus DanuH	n. bow
1577742895753	1577652741654	cakzus cakzuH	n. eye
1577742895754	1577652741654	maDulih maDuliw	m. bee
1577742895755	1577652741654	upAnah upAnat	f. shoe
1577742895756	1577652741654	vid vidyate	A4. to happen, to be
1577742895757	1577652741654	sumanas sumanAH	m. learned man
1577742895758	1577652741654	uzas uzAH	f. dawn
1577742895759	1577652741654	tamas tamaH	m. n. darkness
1577742895760	1577652741654	sTita	mfn. standing
1577742895761	1577652741654	nirguRa	mfn. worthless,without quality
1577742895762	1577652741654	sattvam	n. being, vigour
1577742895763	1577652741654	dayA	f compassion
1577742895764	1577652741654	sam-hf saMharati-saMharate	U1. to withdraw
1577742895765	1577652741654	kAmaduh kAmaDuk	f. wish-yielding cow
1577742895766	1577652741654	Ayuzmat	mfn. long-lived
1577742895767	1577652741654	balavat	mfn. strong
1577742895768	1577652741654	Bagavat BagavAn	m. God
1577742895769	1577652741654	matimat	mfn. prudent
1577742895770	1577652741654	DImat	mfn. talented
1577742895771	1577652741654	SrImat	mfn. rich
1577742895772	1577652741654	jYAnavat	mfn. learned
1577742895773	1577652741654	Danavat	mfn. wealthy
1577742895774	1577652741654	himavat himavAn	m. Himalaya
1577742895775	1577652741654	hanumat hanumAn	m. Hanuman
1577742895776	1577652741654	vinodaH	m. diversion, pastime
1577742895777	1577652741654	kAlaH	m. time
1577742895778	1577652741654	vyasanam	n. dissipation, need
1577742895779	1577652741654	mUrKaH	m. fool
1577742895780	1577652741654	nidrA	f. sleep
1577742895781	1577652741654	kalahaH	m. quarrel
1577742895782	1577652741654	smi smayate	A1. to smile
1577742895783	1577652741654	pari-BU pariBavati	P1. to overcome
1577742895784	1577652741654	pari-vft parivartate	A1. to turn
1577742895785	1577652741654	pari-hf pariharati	P1. to avoid
1577742895786	1577652741654	pari-has parihasati	P1. to laugh at
1577742895787	1577652741654	paruza	mfn. hard, rough
1577742895788	1577652741654	Akula	mfn. disturbed, afflicted
1577742895789	1577652741654	dIrGa	mfn. long
1577742895790	1577652741654	snA snAti	P2. to bathe
1577742895791	1577652741654	Sru SfRoti	P5. to hear
1577742895792	1577652741654	ci cinoti	P5. to collect
1577742895793	1577652741654	Ap Apnoti	P5. to obtain
1577742895794	1577652741654	dIp dIpyate	A4. to shine
1577742895795	1577652741654	stu stOti	P4. to praise
1577742895796	1577652741654	yAc yAcate	A1. to beg
1577742895797	1577652741654	jalp jalpati	P1. to prattle
1577742895798	1577652741654	mA mimAti	P3. to measure
1577742895799	1577652741654	rud roditi	P2. to cry
1577742895800	1577652741654	ram ramate	A1. to sport
1577742895801	1577652741654	kzaR kzaRoti	P8. to hurt
1577742895802	1577652741654	tan tanoti	P8. to spread
1577742895803	1577652741654	han hanti	P2. to kill
1577742895804	1577652741654	svap svapiti	P2. to sleep
1577742895805	1577652741654	ruD roDati	P1. to obstruct
1577742895806	1577652741654	kzuB kzuByati	P4. to be agitated
1577742895807	1577652741654	hA jahAti	P3. to abandon
1577742895808	1577652741654	Bid Binnati	P7. to break
1577742895809	1577652741654	tF tarati	P1. to cross
1577742895810	1577652741654	pF pfRAti	P9. to fill
1577742895811	1577652741654	Cid Cinatti	P7. to cut
1577742895812	1577652741654	dF dfRAti	P9. to tear
1577742895813	1577652741654	lI linAti	P9. to stick, to adhere
1577742895814	1577652741654	lU lunAti	P9. to cut
1577742895815	1577652741654	DA daDAti	P3. to put
1577742895816	1577652741654	Suz Suzyati	P4. to dry
1577742895817	1577652741654	vastram	n. garment
1577742895818	1577652741654	mArgaH	m. path
1577742895819	1577652741654	hAraH	m. necklace
1577742895820	1577652741654	Bojanam	n. meal
1577742895821	1577652741654	mUzakaH	m. mouse
1577742895822	1577652741654	AhAraH	m. food
1577742895823	1577652741654	bilam	n. hole
1577742895824	1577652741654	parAkramaH	m. bravery
1577742895825	1577652741654	jAlam	n. net
1577742895826	1577652741654	dantaH	m. tooth
1577742895827	1577652741654	kftajYatA	f. gratitude
1577742895828	1577652741654	praBUta	mfn. much,many
1577742895829	1577652741654	BayaMkara	mfn. fearful
1577742895830	1577652741654	vizaRRa	mfn. dejected
1577742895831	1577652741654	alam-kf alaMkaroti	P8. to adorn
1577742895832	1577652741654	parihartavya	mfn. to be avoided
1577742895833	1577652741654	sAnandam	ind. joyfully
1577742895834	1577652741654	uccEH	loudly
1577742895835	1577652741654	aparADaH	m. offence
1577742895836	1577652741654	kiyat	pron. how great, how much
1577742895837	1577652741654	yAvat tAvat	pron. as much as
1577742895838	1577652741654	guRin	mfn. virtuous
1577742895839	1577652741654	jYAnin	mfn. learned
1577742895840	1577652741654	mantrin ( mantrI )	m. minister
1577742895841	1577652741654	rogin	mfn. sick
1577742895842	1577652741654	tejasvin	mfn. bright
1577742895843	1577652741654	svAmin svAmI	m. husband, master
1577742895844	1577652741654	SaSin SaSI	m. moon
1577742895845	1577652741654	iyat	pron. so much
1577742895846	1577652741654	etAvat	pron. so much
1577742895847	1577652741654	dfQa	mfn. firm
1577742895848	1577652741654	pfTu	mfn. broad
1577742895849	1577652741654	kfSa	mfn. thin
1577742895850	1577652741654	pawu	mfn. clever
1577742895851	1577652741654	sTira	mfn. steady
1577742895852	1577652741654	sTUla	mfn. big
1577742895853	1577652741654	uru	mfn. wide
1577742895854	1577652741654	kzipta	mfn. quick
1577742895855	1577652741654	mahat	mfn. great
1577742895856	1577652741654	Bavat	pron. your honor
1577742895857	1577652741654	alpa	mfn. little
1577742895858	1577652741654	antika	mfn. near
1577742895859	1577652741654	BogaH	m. pleasure
1577742895860	1577652741654	Buj Bunakti	P7. to enjoy
1577742895861	1577652741654	tap tapati	P1. to do penance, to burn
1577742895862	1577652741654	yA yAti	P2. to go
1577742895863	1577652741654	sarva	pron-adj. all
1577742895864	1577652741654	balin	mfn. strong
1577742895865	1577652741654	Danin	mfn. rich
1577742895866	1577652741654	BImaH	m. Bhima
1577742895867	1577652741654	tfzRA	f. thirst
1577742895868	1577652741654	jF jIryati	P4. to grow old,to decay
1577742895869	1577652741654	jIvanam	n. life
1577742895870	1577652741654	brAhmaRaH	m. brahmin
1577742895871	1577652741654	vittam	n. money
1577742895872	1577652741654	A-Sri ASrayati	P1. to depend on (+Accusative)
1577742895873	1577652741654	viGnaH	m. obstacle
1577742895874	1577652741654	anyaH-anyA-anyad	pron-adj. other (pronominal adj)
1577742895875	1577652741654	eka	pron-adj. one
1577742895876	1577652741654	para	pron-adj. other
1577742895877	1577652741654	kataraH-katarA-katarad	pron-adj. which of two
1577742895878	1577652741654	cakfvas	mfn. having done
1577742895879	1577652741654	jagmivas	mfn. having gone
1577742895880	1577652741654	tasTivas	mfn. having stood
1577742895881	1577652741654	ninIvas	mfn. having led
1577742895882	1577652741654	jaGnivas	mfn. having killed
1577742895883	1577652741654	vidvas	mfn. learned (man)
1577742895884	1577652741654	rAjan rAjA	m. king
1577742895885	1577652741654	vartman	n. path
1577742895886	1577652741654	mahiman mahimA	m. greatness
1577742895887	1577652741654	gariman garimA	m. heaviness
1577742895888	1577652741654	preman premA prema	m. n. love
1577742895889	1577652741654	mUrDan  mUrDA	m. head
1577742895890	1577652741654	Atman AtmA	m. self
1577742895891	1577652741654	nAman nAma	n. name
1577742895892	1577652741654	karman karma	n. work
1577742895893	1577652741654	janman janma	n. birth
1577742895894	1577652741654	brahman brahmA brahma	m. n. the Absolute
1577742895895	1577652741654	vyoman vyoma	n. sky
1577742895896	1577652741654	Basman Basma	n. ashes
1577742895897	1577652741654	veSman veSma	n. house
1577742895898	1577652741654	loman loma	n. hair
1577742895899	1577652741654	carman carma	n. skin, leather
1577742895900	1577652741654	Cadman  Cadma	n. disguise, fraud
1577742895901	1577652741654	pratyac	mfn. western, averted
1577742895902	1577652741654	nyac	mfn. downward
1577742895903	1577652741654	samyac	mfn. right, proper
1577742895904	1577652741654	udac	mfn. upward
1577742895905	1577652741654	anvac	mfn. following
1577742895906	1577652741654	vizvac	mfn. pervading
1577742895907	1577652741654	tiryac	mfn. horizontal
1577742895908	1577652741654	parAc	mfn. turned away
1577742895909	1577652741654	prAc	mfn. eastern
1577742895910	1577652741654	avAc	mfn. southern
1577742895911	1577652741654	jyotsnA	f. moonlight
1577742895912	1577652741654	caRqAlaH	m. outcast
1577742895913	1577652741654	vizam	n. poison
1577742895914	1577652741654	vi-DA vidaDAti	P3. to perform, to lay down
1577742895915	1577652741654	vi-ram  viramati	P1. to stop, to cease
1577742895916	1577652741654	bAlikA	f. girl
1577742895917	1577652741654	gAyikaH	m. singer
1577742895918	1577652741654	gAyikA	f. songstress
1577742895919	1577652741654	gOra - gOrI	mfn. white
1577742895920	1577652741654	kiSora - kiSorI	mfn. adolescent
1577742895921	1577652741654	taruRa - taruRI	mfn. youthful
1577742895922	1577652741654	sadfSa - sadfSI	mfn. like, similar
1577742895923	1577652741654	vyAGraH	m. tiger
1577742895924	1577652741654	hariRaH	m. hind = deer
1577742895925	1577652741654	haMsI	f. female swan
1577742895926	1577652741654	mayUraH	m. peacock
1577742895927	1577652741654	mayUrI	f. peahen
1577742895928	1577652741654	kokilaH - kokilA	mf. cuckoo
1577742895929	1577652741654	ajaH - ajA	mf. goat
1577742895930	1577652741654	balAkaH - balAkA	mf. crane
1577742895931	1577652741654	cawakaH - cawakA	mf. sparrow
1577742895932	1577652741654	mfnmaya - mfnmayI	mfn. earthen
1577742895933	1577652741654	cinmaya - cinmayI	mfn. spiritual
1577742895934	1577652741654	carmamaya - carmamayI	mfn. leathern
1577742895935	1577652741654	dehaH	m. body
1577742895936	1577652741654	jarA	f. old age
1577742895937	1577652741654	rogaH	m. disease
1577742895938	1577652741654	ahitam	n. harmful deed
1577742895939	1577652741654	citra	mfn. suprising, strange
1577742895940	1577652741654	pari-tarj paritarjayati	P1. (causal) to menace, threaten
1577742895941	1577652741654	pra-hf praharati	P1. to strike
1577742895942	1577652741654	A-car Acarati	P1. to perform
1577742895943	1577652741654	kzamin	mfn. forbearing
1577742895944	1577652741654	dakza	mfn. competent
1577742895945	1577652741654	svasTa	mfn. sound
1577742895946	1577652741654	indriyam	n. sense
1577742895947	1577652741654	pratyudyamaH	m. remedy
1577742895948	1577652741654	Bavanam	n. house
1577742895949	1577652741654	guRagrAhin	mfn. appreciative
1577742895950	1577652741654	aruja	mfn. healthy
1577742895951	1577652741654	yAvat- tAvat	ind. while
1577742895952	1577652741654	kIdfSa - kIdfSI	what kind of ?
1577742895953	1577652741654	AtmaSreyas (AtmaSreyaH)	n. supreme good
1577742895954	1577652741654	puRyam	n. merit
1577742895955	1577652741654	sudurlaBa	mfn. very hard to obtain
1577742895956	1577652741654	prayatnaH	m. effort
1577742895957	1577652741654	Kananam	n. digging
1577742895958	1577652741654	anukUla	mfn. favorable
1577742895959	1577652741654	kzayaH	m. loss, decline
1577742895960	1577652741654	dUratas	m. ind. far away
1577742895961	1577652741654	apratihata	mfn. unimpaired
1577742895962	1577652741654	sam-dIp saMdIpyate	A4. to burn, glow
1577742895963	1577652741654	kArya	mfn. to be done
1577742895964	1577652741654	tAdfSa - tAdfSI	mfn. such
1577742895965	1577652741654	vyAGrI	f. tigress
1577742895966	1577652741654	hariRI	f. doe = female deer
1577742895967	1577652741654	amBas amBaH	mn. water
1577742895968	1577652741654	A-dA Adatte	A3. to receive
1577742895969	1577652741654	anu-BU anuBavati	P1. to feel, enjoy
1577742895970	1577652741654	gOtamaH	m. Gautama
1577742895971	1577652741654	araRyam	n. forest
1577742895972	1577652741654	skanDaH	m. shoulder
1577742895973	1577652741654	ni-DA nidaDAti	P3. to put down
1577742895974	1577652741654	vipraH	m. a brahmin
1577742895975	1577652741654	kaHcit (kaScit)	pron. a certain
1577742895976	1577652741654	kaH-api (ko'pi, kimapi, etc.)	pron. a certain
1577742895977	1577652741654	yajYaH	m. sacrifice
1577742895978	1577652741654	krI krIRAti	P9. to buy
1577742895979	1577652741654	vi-krI vikrIRAti	P9. to sell
1577742895980	1577652741654	CAgaH	m. goat
1577742895981	1577652741654	DUrtaH	m. rogue
1577742895982	1577652741654	tataH	m. then
1577742895983	1577652741654	upAyaH	m. means
1577742895984	1577652741654	prakarzaH	m. excellence
1577742895985	1577652741654	talam	n. base, foot
1577742895986	1577652741654	Agamanam	n. coming
1577742895987	1577652741654	sASaMkam	ind. with fear
1577742895988	1577652741654	prati-Ikz pratIkzate	A1. to wait
1577742895989	1577652741654	pari-Ikz parIkzate	A1. to examine
1577742895990	1577652741654	aBi-DA aBidaDAti	P3. to address
1577742895991	1577652741654	kukkuraH	m. dog
1577742895992	1577652741654	A-karR AkarRayati	P10. to hear, listen
1577742895993	1577652741654	niHsaMSayam	ind. certainly
1577742895994	1577652741654	samarTa	mfn. able
1577742895995	1577652741654	asamarTa	mfn. unable
1577742895996	1577652741654	Sakya	mfn. capable of being done
1577742895997	1577652741654	praSamaH	m. cessation
1577742895998	1577652741654	praSamaM nI nayati	P1. to check
1577742895999	1577652741654	sAraTiH	m. charioteer
1577742896000	1577652741654	arh arhati	P1. to deserve
1577742896001	1577652741654	yat yatate	A1. to strive
1577742896002	1577652741654	yuj yunakti	P7. to yoke; yujyate = it is proper
1577742896003	1577652741654	Kid Kidyate	A4. to be depressed
1577742896004	1577652741654	Sak Saknoti	P5. to be able
1577742896005	1577652741654	A-ruh Arohati	P1. to mount, to climb
1577742896006	1577652741654	dozaH	m. fault, defect
1577742896007	1577652741654	guRavat	mfn. virtuous
1577742896008	1577652741654	guRarAgin	mfn. lover of virtue
1577742896009	1577652741654	kalaNkaH	m. spot, mark
1577742896010	1577652741654	vyADiH	m. disease
1577742896011	1577652741654	jAtamAtraH	m. hardly born
1577742896012	1577652741654	vA	ind. or
1577742896013	1577652741654	anurAgaH	m. love
1577742896014	1577652741654	samman sammanyate	P4. to think; sammAnayati Caus. to esteem, to honor
1577742896015	1577652741654	saMsad saMsat	f. assembly
1577742896016	1577652741654	utsAraRam	n. driving away
1577742896017	1577652741654	rAjavallaBaH	m. courtier
1577742896018	1577652741654	atipuzwANgayukta	mfn. strongly built
1577742896019	1577652741654	pakzin pakzI	m. bird
1577742896020	1577652741654	senA	f. army
1577742896021	1577652741654	sEnikaH	m. soldier
1577742896022	1577652741654	senApatiH	m. general
1577742896023	1577652741654	Amram	n. mango
1577742896024	1577652741654	rUpyam	n. rupee
1577742896025	1577652741654	ARakaH	m. anna (unit of money)
1577742896026	1577652741654	vEdyaH	m. doctor
1577742896027	1577652741654	dinam	n. day
1577742896028	1577652741654	saptAhaH	m. week
1577742896029	1577652741654	mAsaH	m. month
1577742896030	1577652741654	varzam	n. year
1577742896031	1577652741654	SatAbdam	n. century
1577742896032	1577652741654	fRam	n. debt
1577742896033	1577652741654	sajala	mfn. having water
1577742896034	1577652741654	dvayam	n. pair
1577742896035	1577652741654	trayam	n. group of three
1577742896036	1577652741654	catuzwayam	n. group of four
1577742896037	1577652741654	kzuDArta	mfn. famished
1577742896038	1577652741654	mahilA	f. woman
1577742896039	1577652741654	BujagaH	m. serpent
1577742896040	1577652741654	BujagI	f. female serpent
1577742896041	1577652741654	aRqaH	m. egg
1577742896042	1577652741654	buBukzita	mfn. famished
1577742896043	1577652741654	kzIRa	mfn. lean, emaciated
1577742896044	1577652741654	nizkaruRa	mfn. pitiless
1577742896045	1577652741654	puruzaH	m. man
1577742896046	1577652741654	SrotriyaH	m. learned brahmin
1577742896047	1577652741654	dIrGasUtratA	f. slowness
1577742896048	1577652741654	praBavaH	m. origin
1577742896049	1577652741654	mattaH	ind. ? (Abl.) from me
1577742896050	1577652741654	yojanam	n. eight miles
1577742896051	1577652741654	fRadAtf	m. money lender
1577742896052	1577652741654	yamaH (god of death)	m. Yama
1577742896053	1577652741654	prARAH	m. pl. life
1577742896054	1577652741654	BAvasamanvita	mfn. wise
1577742896055	1577652741654	kroSaH	m. two miles
1577742896056	1577652741654	sva	mfn.  one's own
1577742896057	1577652741654	tandrA	f. sluggishness
1577742896058	1577652741654	sahodaraH	m. brother
1577742896059	1577652741654	BAgavataH	m. devotee
1577742896060	1577652741654	buDaH	m. wise man
1577742896061	1577652741654	vastavya	mfn. to be dwelt in
1577742896062	1577652741654	hAtavya	mfn. to be avoided
1577742896063	1577652741654	BUtiH	f. prosperity
1577742896064	1577652741654	hfdayam	n. heart
1577742896065	1577652741654	budDiH	f. intelligence
1577742896066	1577652741654	iha	ind. here
1577742896067	1577652741654	mUlyam	n. price
1577742896068	1577652741654	Alasyam	n. laziness
1577659264757	1577652741654		
1577659264758	1577652741654		
1577659264759	1577652741654		
1577659264760	1577652741654		
1577659264761	1577652741654		
1577659264762	1577652741654		
1577659264763	1577652741654		
1577659264764	1577652741654		
1577659264765	1577652741654		
1577659264766	1577652741654		
1577659264767	1577652741654		
1577659264768	1577652741654		
1577659264769	1577652741654		
1577659264770	1577652741654		
1577659264771	1577652741654		
1577659264772	1577652741654		
1577659264773	1577652741654		
1577659264774	1577652741654		
1577659264775	1577652741654		
1577659264776	1577652741654		
1577659264777	1577652741654		
1577659264778	1577652741654		
1577659264779	1577652741654		
1577659264780	1577652741654		
1577659264781	1577652741654		
1577659264782	1577652741654		
1577659264783	1577652741654		
1577659264784	1577652741654		
1577659264785	1577652741654		
1577659264786	1577652741654		
1577744175517	1577652741654		
1577744175518	1577652741654		
1577744175519	1577652741654		
1577744175520	1577652741654		
1577744175521	1577652741654		
1577744175522	1577652741654		
1577744175523	1577652741654		
1577744175524	1577652741654		
1577744175525	1577652741654		
1577744175526	1577652741654		
1577744175527	1577652741654		
1577744175528	1577652741654		
1577744175529	1577652741654		
1577744175530	1577652741654		
1577744175531	1577652741654		
1577744175532	1577652741654		
1577744175533	1577652741654		
1577744175534	1577652741654		
1577744175535	1577652741654		
1577744175536	1577652741654		
1577744175537	1577652741654		
1577744175538	1577652741654		
1577744175539	1577652741654		
1577744175540	1577652741654		
1577744175541	1577652741654		
1577744175542	1577652741654		
1577744175543	1577652741654		
1577744175544	1577652741654		
1577744175545	1577652741654		
1577744175546	1577652741654		
1577744175547	1577652741654		
1577744175548	1577652741654		
1577744175549	1577652741654		
1577744175550	1577652741654		
1577744175551	1577652741654		
1577744175552	1577652741654		
1577744175553	1577652741654		
1577744175554	1577652741654		
1577744175555	1577652741654		
1577744175556	1577652741654		
1577744175557	1577652741654		
1577744175558	1577652741654		
1577744175559	1577652741654		
1577744175560	1577652741654		
1577744175561	1577652741654		
1577744175562	1577652741654		
1577744175563	1577652741654		
1577744175564	1577652741654		
1577744175565	1577652741654		
1577744175566	1577652741654		
1577744175567	1577652741654		
1577744175568	1577652741654		
1577744175569	1577652741654		
1577744175570	1577652741654		
1577744175571	1577652741654		
1577744175572	1577652741654		
1577744175573	1577652741654		
1577744175574	1577652741654		
1577744175575	1577652741654		
1577744175576	1577652741654		
1577744175577	1577652741654		
1577744175578	1577652741654		
1577744175579	1577652741654		
1577744175580	1577652741654		
1577744175581	1577652741654		
1577744175582	1577652741654		
1577744175583	1577652741654		
1577744175584	1577652741654		
1577744175585	1577652741654		
1577744175586	1577652741654		
1577744175587	1577652741654		
1577744175588	1577652741654		
1577744175589	1577652741654		
1577744175590	1577652741654		
1577744175591	1577652741654		
1577744175592	1577652741654		
1577744175593	1577652741654		
1577744175594	1577652741654		
1577744175595	1577652741654		
1577744175596	1577652741654		
1577744175597	1577652741654		
1577744175598	1577652741654		
1577744175599	1577652741654		
1577744175600	1577652741654		
1577744175601	1577652741654		
1577744175602	1577652741654		
1577744175603	1577652741654		
1577744175604	1577652741654		
1577744175605	1577652741654		
1577744175606	1577652741654		
1577744175607	1577652741654		
1577744175608	1577652741654		
1577744175609	1577652741654		
1577744175610	1577652741654		
1577744175611	1577652741654		
1577744175612	1577652741654		
1577744175613	1577652741654		
1577744175614	1577652741654		
1577744175615	1577652741654		
1577744175616	1577652741654		
1577744175617	1577652741654		
1577744175618	1577652741654		
1577744175619	1577652741654		
1577744175620	1577652741654		
1577744175621	1577652741654		
1577744175622	1577652741654		
1577744175623	1577652741654		
1577744175624	1577652741654		
1577744175625	1577652741654		
1577744175626	1577652741654		
1577744175627	1577652741654		
1577744175628	1577652741654		
1577744175629	1577652741654		
1577744175630	1577652741654		
1577744175631	1577652741654		
1577744175632	1577652741654		
1577744175633	1577652741654		
1577744175634	1577652741654		
1577744175635	1577652741654		
1577744175636	1577652741654		
1577744175637	1577652741654		
1577744175638	1577652741654		
1577744175639	1577652741654		
1577744175640	1577652741654		
1577744175641	1577652741654		
1577744175642	1577652741654		
1577744175643	1577652741654		
1577744175644	1577652741654		
1577744175645	1577652741654		
1577744175646	1577652741654		
1577744175647	1577652741654		
1577744175648	1577652741654		
1577744175649	1577652741654		
1577744175650	1577652741654		
1577744175651	1577652741654		
1577744175652	1577652741654		
1577744175653	1577652741654		
1577744175654	1577652741654		
1577744175655	1577652741654		
1577744175656	1577652741654		
1577744175657	1577652741654		
